population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1991,18.09911383726434,40.30307911218111,8.01397811376682
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,179.85842858965856,397.4801610247802,78.80681430033898
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0013881615796630072,0.0028407175419182954,0.0006385369700224752
1,All Population,2,DALYs (Disability-Adjusted Life Years),145,Kuwait,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,25.412984781899482,56.16171208898517,11.134959802710329
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,147.67112499332737,318.6034584401855,63.200729866467626
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0010394336042547265,0.0021142304936404947,0.00045008365872370416
1,All Population,2,DALYs (Disability-Adjusted Life Years),156,United Arab Emirates,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,20.216983303403513,43.61855305147095,8.652524997903466
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,109.78275377546731,231.05981102737874,48.3226845680887
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0004456639848974034,0.0008931889506895878,0.0001972946164231605
1,All Population,2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,12.597466560290577,26.51389351006531,5.544982085209814
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1992,1909.5031519635386,4113.293232500508,804.7483043095315
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1992,0.0004113126919071449,0.0008329756513770548,0.00017483770447120878
1,All Population,2,DALYs (Disability-Adjusted Life Years),139,Algeria,2,Female,22,All ages,605,Polycystic ovarian syndrome,3,Rate,1992,14.466305284022894,31.16211437664802,6.096734972639487
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,1,Number,1993,1396.1953074334417,2980.8306377252648,615.3759299750441
1,All Population,2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,22,All ages,605,Polycystic ovarian syndrome,2,Percent,1993,0.000608634670849271,0.001274673106416949,0.00027285475098218464
